	class_sitzplaetze_2	class_sitzplaetze_4	class_sitzplaetze_5	class_sitzplaetze_7	class_stauraum	class_langstrecke	class_tag_park_easy	class_tag_sporty	class_tag_luxury_high	class_tag_cargo_high	class_tag_seat_high	class_tag_tech_high	minpreis	class_reichweite	reichweite_epa	class_form_city	class_form_small	class_form_compact	class_form_suv	class_form_limousine	class_form_combi	class_form_convertible	class_form_sports_car	class_form_van
50-quattro-54	0	1	1	0	1	1	0	0	1	0	0	0		1	388	0	0	0	0	0	0	0	0	0
aiways-u5-premium	0	1	1	0	1	1	0	0	0	0	1	0		1	340	0	0	0	0	0	0	0	0	0
aiways-U5-Standard	0	1	1	0	1	1	0	0	0	0	1	0		1	349	0	0	0	0	0	0	0	0	0
Audi-e-tron-50-quattro	0	1	1	0	1	1	0	1	0	0	0	0		1	262	0	0	0	0	0	0	0	0	0
Audi-e-tron55-quattro	0	1	1	0	1	1	0	0	1	0	0	0		1	357	0	0	0	0	0	0	0	0	0
audi-e-tron-gt-quattro	0	1	1	0	1	1	0	1	0	0	0	0		1	468	0	0	0	0	0	0	0	0	0
audi-e-tron-gt-rs	0	1	1	0	1	1	0	1	0	0	0	0		1	416	0	0	0	0	0	0	0	0	0
audi-etron-S	0	1	1	0	1	1	0	0	1	0	0	0		1	330	0	0	0	0	0	0	0	0	0
Audi-e-tron-Sportback-50-quattro	0	1	1	0	1	1	0	1	0	0	0	0		1	266	0	0	0	0	0	0	0	0	0
Audi-e-tron-Sportback-55-quattro	0	1	1	0	1	1	0	0	0	1	0	0		1	351	0	0	0	0	0	0	0	0	0
Audi-etron-Sportback-S	0	1	1	0	1	1	0	1	0	0	0	0		1	330	0	0	0	0	0	0	0	0	0
audi-q4-etron-35	0	1	1	0	1	1	0	0	0	1	0	0	369.0	1	271	0	0	0	0	0	0	0	0	0
audi-q4-etron-40	0	1	1	0	1	1	0	0	1	0	0	0		1	414	0	0	0	0	0	0	0	0	0
audi-q4-etron-45-quattro	0	1	1	0	1	1	0	0	0	0	1	0		1	389	0	0	0	0	0	0	0	0	0
audi-q4-sportback-etron-35	0	1	1	0	1	1	0	0	1	0	0	0		1	279	0	0	0	0	0	0	0	0	0
audi-q4-sportback-etron-40	0	1	1	0	1	1	0	0	0	0	1	0		1	427	0	0	0	0	0	0	0	0	0
audi-q4-sportback-etron-50-quattro	0	1	1	0	1	1	0	1	0	0	0	0		1	398	0	0	0	0	0	0	0	0	0
BMW-i3-120-Ah	0	1	0	0	1	1	0	0	0	0	1	0		1	246	0	0	0	0	0	0	0	0	0
BMW-i3-s-120-Ah	0	1	0	0	1	1	0	0	0	0	1	0		1	232	0	0	0	0	0	0	0	0	0
bmw-i4-edrive40	0	1	1	0	1	1	0	0	1	0	0	0	585.0	1	482	0	0	0	0	0	0	0	0	0
bmw-i4-m50	0	1	1	0	1	1	0	0	1	0	0	0	749.0	1	418	0	0	0	0	0	0	0	0	0
bmw-i7-xdrive60	0	1	1	0	1	1	0	0	1	0	0	0		1	491	0	0	0	0	0	0	0	0	0
bmw-ix1-xdrive30	0	1	1	0	1	1	0	0	0	0	1	0		1	355	0	0	0	0	0	0	0	0	0
bmw-ix3	0	1	1	0	1	1	0	0	0	0	0	1	535.0	1	387	0	0	0	0	0	0	0	0	0
bmw-ix-M60	0	1	1	0	1	1	0	0	0	0	0	1		1	450	0	0	0	0	0	0	0	0	0
bmw-ix-xDrive40	0	1	1	0	1	1	0	0	1	0	0	0	999.0	1	374	0	0	0	0	0	0	0	0	0
bmw-ix-xDrive50	0	1	1	0	1	1	0	1	0	0	0	0		1	521	0	0	0	0	0	0	0	0	0
citroen-e-c4	0	1	1	0	1	1	0	0	0	0	0	1	315.0	1	303	0	0	0	0	0	0	0	0	0
cupra-born-58-kwh	0	1	1	0	1	1	0	0	0	0	0	1		1	329	0	0	0	0	0	0	0	0	0
cupra-born-58-kwh-e-boost	0	1	1	0	1	1	1	0	0	0	0	0		1	323	0	0	0	0	0	0	0	0	0
cupra-born-77-kwh-e-boost	0	1	1	0	1	1	0	0	0	0	0	1		1	422	0	0	0	0	0	0	0	0	0
dacia-spring-electric	0	1	0	0	1	0	1	0	0	0	0	0		1	196	0	0	0	0	0	0	0	0	0
