	minpreis
50-quattro-54	1072
aiways-u5-premium	911
aiways-U5-Standard	791
Audi-e-tron-50-quattro	599
Audi-e-tron55-quattro	899
audi-e-tron-gt-quattro	2032
audi-e-tron-gt-rs	2800
audi-etron-S	1876
Audi-e-tron-Sportback-50-quattro	1427
Audi-e-tron-Sportback-55-quattro	1675
Audi-etron-Sportback-S	1921
audi-q4-etron-35	369
audi-q4-etron-40	950
audi-q4-etron-45-quattro	1018
audi-q4-sportback-etron-35	389
audi-q4-sportback-etron-40	990
audi-q4-sportback-etron-50-quattro	1112
BMW-i3-120-Ah	249
BMW-i3-s-120-Ah	219
bmw-i4-edrive40	585
bmw-i4-m50	749
bmw-i7-xdrive60	2718
bmw-ix1-xdrive30	1100
bmw-ix3	495
bmw-ix-M60	2644
bmw-ix-xDrive40	999
bmw-ix-xDrive50	2050
citroen-e-c4	315
cupra-born-58-kwh	744
cupra-born-58-kwh-e-boost	772
cupra-born-77-kwh-e-boost	886
dacia-spring-electric	418
DS-3-Crossback-E-Tense-Standard	387
ev60-220hp-64	932
fiat-500e-3-1	286
fiat-500e-cabrio	379
fiat-500e-limousine	319
fiat-500e-limousine-action	199
ford-mustang-mach-e-awd-er	1394
Ford-Mustang-Mach-E-AWD-SR	599
ford-mustang-mach-e-er	1259
ford-mustang-mach-e-gt	1544
Ford-Mustang-Mach-E-SR	1130
Honda-E-Advance	760
Honda-E-Standard	249
hyundai-ioniq-5-58-kwh-2wd	276
hyundai-ioniq-5-58-kwh-4wd	918
hyundai-ioniq-5-72-kwh-2wd	958
hyundai-ioniq-5-72-kwh-4wd	1184
Hyundai-Ioniq-Elektro	256
Hyundai-Kona-Elektro-39-kWh	259
Hyundai-Kona-Elektro-64-kWh	853
jaguar-i-pace-ev320-sondermodell	1546
Jaguar-I-Pace-EV400	599
Kia-e-Niro-39-kwh	259
Kia-e-Niro-64-kWh	325
Kia-e-Soul-39-kWh	239
Kia-e-Soul-64-kWh	319
kia-ev6-58-kwh-rwd	939
kia-ev6-77-kwh-awd	1097
kia-ev6-77-kwh-rwd	1019
kia-ev6-gt	1319
kia-niro-ev-64-kwh	951
lexus-rz-450e	1200
lexus-ux-300e	951
mazda-mx-30	199
mercedes-benz-eqa-250	585
mercedes-benz-eqa-250-plus	1044
mercedes-benz-eqa-300-4matic	1074
mercedes-benz-eqa-350-4matic	1134
mercedes-benz-eqb-250	479
mercedes-benz-eqb-300-4matic	569
mercedes-benz-eqb-350-4matic	1163
Mercedes-Benz-EQC-400-4MATIC	599
mercedes-benz-eqs-350	899
mercedes-benz-eqs-450-4matic	2222
mercedes-benz-eqs-450plus	2146
mercedes-benz-eqs-500-4matic	2463
mercedes-benz-eqs-580-4matic	2789
mercedes-benz-eqs-suv-450-4matic	2289
mercedes-benz-eqs-suv-450plus	2213
mercedes-benz-eqs-suv-580-4matic	2705
mercedes-eqe-350	1412
mercedes-eqe-43-4matic	2076
mercedes-eqs-53-4matic-plus	3050
mercedes-eqv-300	1427
mg-mg5-maximale-reichweite	769
mg-mg5-standard-reichweite	709
Mini-Cooper-SE	219
Nissan-Leaf-e-plus-60kWh	241
Nissan-Leaf-Standard-40kWh	269
Opel-Corsa-E-Standard	220
opel-mokka-e	229
Peugeot-e-2008-standard	337
Peugeot-e-208	335
polestar-2-long-range-dual-motor	624
polestar-2-long-range-single-motor	623
polestar-2-standard-range-single-motor	910
polestar-2-standard-range-single-motor-2022	594
porsche-taycan	1734
porsche-taycan-4-cross-turismo	1936
Porsche-Taycan-4S	2134
porsche-taycan-4s-cross-turismo	2241
Porsche-Taycan-4S-Performance-Batterie	1632
porsche-taycan-gts	2641
porsche-taycan-performance-batterie	1437
Porsche-Taycan-Turbo	3065
porsche-taycan-turbo-cross-turismo	3093
Porsche-Taycan-turbo-S	3731
porsche-taycan-turbo-s-cross-turismo	3760
renault-megane-e-tech-electric-ev40-130hp	279
renault-megane-e-tech-electric-ev60-130hp	940
Renault-twingo-electric-vibes	179
Renault-Zoe-ZE-40-R110	219
Renault-Zoe-ZE-50-R110	311
Renault-Zoe-ZE-50-R135	756
Seat-Mii-electric-Standard	414
Skoda-Citigo-e-iV-Standard	499
skoda-enyaq-coupe-iv-rs	1231
skoda-enyaq-iv-50	692
skoda-enyaq-iv-60	465
skoda-enyaq-iv-80	936
skoda-enyaq-iv-80x	981
Smart-EQ-forfour	452
Smart-EQ-fortwo-Cabrio	185
Smart-EQ-fortwo-coupe	149
tesla-model-3-hinterradantrieb	613
Tesla-Model-3-Maximale-Reichweite	756
Tesla-Model-3-Performance	817
Tesla-Model-3-Standard-Reichweite-Plus	413
Tesla-Model-S-Maximale-Reichweite	1410
Tesla-Model-S-Performance	1438
tesla-model-s-plaid	1842
tesla-model-s-plaid-plus	2799
Tesla-Model-X-Maximale-Reichweite	1539
Tesla-Model-X-Performance	1568
tesla-model-x-plaid	1698
tesla-model-y-maximale-reichweite	719
tesla-model-y-performance	718
toyota-bz4x-awd	1199
toyota-bz4x-fwd	949
volvo-c40-recharge-pure-electric	977
volvo-c40-recharge-pure-electric-p8	1153
VW-e-Golf-Standard	638
VW-e-up-Standard	537
vw-id3-pro	249
vw-id3-pro-performance	292
vw-id3-pro-s	350
vw-id3-pure-performance	639
VW-ID4-GTX	591
vw-id4-pro-4motion	980
VW-ID4-pro-performance	466
VW-ID4-pure	240
VW-ID4-pure-performance	249
vw-id5-gtx	534
vw-id5-pro	419
vw-id5-pro-performance	979
vw-idbuzz-pro-performance	684
XC40-Recharge-pure-electric	973
XC40-recharge-pure-electric-twin	1123
