	class_reichweite	class_langstrecke	class_stauraum	class_sitzplaetze_4	class_tag_tag1
50-quattro-54	1	1	1	1	0
50-quattro-54	1	1	1	1	0
50-quattro-54	1	1	1	1	0
50-quattro-54	1	1	1	1	0
50-quattro-54	1	1	1	1	0
aiways-u5-premium	1	1	1	1	0
aiways-u5-premium	1	1	1	1	0
aiways-U5-Standard	1	1	1	1	0
aiways-U5-Standard	1	1	1	1	0
Audi-e-tron-50-quattro	1	1	1	1	0
Audi-e-tron-50-quattro	1	1	1	1	0
Audi-e-tron-50-quattro	1	1	1	1	0
Audi-e-tron-50-quattro	1	1	1	1	0
Audi-e-tron-50-quattro	1	1	1	1	0
Audi-e-tron55-quattro	1	1	1	1	0
Audi-e-tron55-quattro	1	1	1	1	0
Audi-e-tron55-quattro	1	1	1	1	0
Audi-e-tron55-quattro	1	1	1	1	0
Audi-e-tron55-quattro	1	1	1	1	0
audi-e-tron-gt-quattro	1	1	1	1	0
audi-e-tron-gt-quattro	1	1	1	1	0
audi-e-tron-gt-quattro	1	1	1	1	0
audi-e-tron-gt-rs	1	1	1	1	0
audi-e-tron-gt-rs	1	1	1	1	0
audi-e-tron-gt-rs	1	1	1	1	0
audi-etron-S	1	1	1	1	0
audi-etron-S	1	1	1	1	0
audi-etron-S	1	1	1	1	0
audi-etron-S	1	1	1	1	0
Audi-e-tron-Sportback-50-quattro	1	1	1	1	0
Audi-e-tron-Sportback-50-quattro	1	1	1	1	0
Audi-e-tron-Sportback-50-quattro	1	1	1	1	0
Audi-e-tron-Sportback-50-quattro	1	1	1	1	0
Audi-e-tron-Sportback-50-quattro	1	1	1	1	0
Audi-e-tron-Sportback-55-quattro	1	1	1	1	0
Audi-e-tron-Sportback-55-quattro	1	1	1	1	0
Audi-e-tron-Sportback-55-quattro	1	1	1	1	0
Audi-e-tron-Sportback-55-quattro	1	1	1	1	0
Audi-e-tron-Sportback-55-quattro	1	1	1	1	0
Audi-etron-Sportback-S	1	1	1	1	0
Audi-etron-Sportback-S	1	1	1	1	0
Audi-etron-Sportback-S	1	1	1	1	0
Audi-etron-Sportback-S	1	1	1	1	0
audi-q4-etron-35	1	1	1	1	0
audi-q4-etron-35	1	1	1	1	0
audi-q4-etron-35	1	1	1	1	0
audi-q4-etron-35	1	1	1	1	0
audi-q4-etron-40	1	1	1	1	0
audi-q4-etron-40	1	1	1	1	0
audi-q4-etron-40	1	1	1	1	0
audi-q4-etron-40	1	1	1	1	0
audi-q4-etron-45-quattro	1	1	1	1	0
audi-q4-etron-45-quattro	1	1	1	1	0
audi-q4-etron-45-quattro	1	1	1	1	0
audi-q4-etron-45-quattro	1	1	1	1	0
audi-q4-sportback-etron-35	1	1	1	1	0
audi-q4-sportback-etron-35	1	1	1	1	0
audi-q4-sportback-etron-35	1	1	1	1	0
audi-q4-sportback-etron-40	1	1	1	1	0
audi-q4-sportback-etron-40	1	1	1	1	0
audi-q4-sportback-etron-40	1	1	1	1	0
audi-q4-sportback-etron-50-quattro	1	1	1	1	0
audi-q4-sportback-etron-50-quattro	1	1	1	1	0
audi-q4-sportback-etron-50-quattro	1	1	1	1	0
audi-q4-sportback-etron-50-quattro	1	1	1	1	0
BMW-i3-120-Ah	1	1	1	1	0
BMW-i3-120-Ah	1	1	1	1	0
BMW-i3-s-120-Ah	1	1	1	1	0
BMW-i3-s-120-Ah	1	1	1	1	0
