	modelle__hoehe	modelle__breite	modelle__laenge	modelle__kofferraumvolumen_back	modelle__kofferraumvolumen_front	slug
50-quattro-54	1632	2108	4588	520	0	50-quattro-54
aiways-u5-premium	1700	1865	4680	432	30	aiways-u5-premium
aiways-U5-Standard	1700	1865	4680	432	30	aiways-U5-Standard
Audi-e-tron-50-quattro	1629	2189	4901	660	60	Audi-e-tron-50-quattro
Audi-e-tron55-quattro	1629	2189	4901	660	60	Audi-e-tron55-quattro
audi-e-tron-gt-quattro	1410	1960	4990	405	85	audi-e-tron-gt-quattro
audi-e-tron-gt-rs	1410	1960	4990	405	85	audi-e-tron-gt-rs
audi-etron-S	1629	2189	4901	660	60	audi-etron-S
Audi-e-tron-Sportback-50-quattro	1616	2189	4901	615	60	Audi-e-tron-Sportback-50-quattro
Audi-e-tron-Sportback-55-quattro	1616	2189	4901	615	60	Audi-e-tron-Sportback-55-quattro
Audi-etron-Sportback-S	1616	2189	4901	615	60	Audi-etron-Sportback-S
audi-q4-etron-35	1632	2108	4588	520	0	audi-q4-etron-35
audi-q4-etron-40	1632	2108	4588	520	0	audi-q4-etron-40
audi-q4-etron-45-quattro	1632	2108	4588	520	0	audi-q4-etron-45-quattro
audi-q4-sportback-etron-35	1614	2108	4588	535	0	audi-q4-sportback-etron-35
audi-q4-sportback-etron-40	1614	2108	4588	535	0	audi-q4-sportback-etron-40
audi-q4-sportback-etron-50-quattro	1614	2108	4588	535	0	audi-q4-sportback-etron-50-quattro
BMW-i3-120-Ah	1598	2039	4011	260	0	BMW-i3-120-Ah
BMW-i3-s-120-Ah	1598	2039	4011	260	0	BMW-i3-s-120-Ah
bmw-i4-edrive40	1448	1852	4783	470	0	bmw-i4-edrive40
bmw-i4-m50	1448	1852	4783	470	0	bmw-i4-m50
bmw-i7-xdrive60	1544	1950	5391	500	0	bmw-i7-xdrive60
bmw-ix1-xdrive30	1642	2104	4500	490	0	bmw-ix1-xdrive30
bmw-ix3	1669	2138	4734	510	0	bmw-ix3
bmw-ix-M60	1695	1967	4950	500	0	bmw-ix-M60
bmw-ix-xDrive40	1695	1967	4950	500	0	bmw-ix-xDrive40
bmw-ix-xDrive50	1695	1967	4950	500	0	bmw-ix-xDrive50
citroen-e-c4	1525	2032	4360	380	0	citroen-e-c4
cupra-born-58-kwh	1537	1809	4322	385	0	cupra-born-58-kwh
cupra-born-58-kwh-e-boost	1537	1809	4322	385	0	cupra-born-58-kwh-e-boost
cupra-born-77-kwh-e-boost	1537	1809	4322	385	0	cupra-born-77-kwh-e-boost
dacia-spring-electric	1488	1770	3734	300	0	dacia-spring-electric
DS-3-Crossback-E-Tense-Standard	1534	1988	4118	350	0	DS-3-Crossback-E-Tense-Standard
ev60-220hp-64	1505	2055	4210	440	0	ev60-220hp-64
fiat-500e-3-1	1527	1900	3632	185	0	fiat-500e-3-1
fiat-500e-cabrio	1527	1900	3632	185	0	fiat-500e-cabrio
fiat-500e-limousine	1527	1900	3632	185	0	fiat-500e-limousine
fiat-500e-limousine-action	1527	1900	3632	185	0	fiat-500e-limousine-action
ford-mustang-mach-e-awd-er	1624	2097	4713	402	81	ford-mustang-mach-e-awd-er
Ford-Mustang-Mach-E-AWD-SR	1624	2097	4713	402	81	Ford-Mustang-Mach-E-AWD-SR
ford-mustang-mach-e-er	1624	2097	4713	402	81	ford-mustang-mach-e-er
ford-mustang-mach-e-gt	1624	2097	4713	402	81	ford-mustang-mach-e-gt
